iter	Passed	Remaining
477	610	666
478	610	664
479	611	662
480	612	661
481	613	659
482	614	658
483	615	656
484	616	654
485	617	653
486	618	651
487	619	649
488	620	647
489	620	646
490	621	644
491	622	642
492	623	640
493	623	639
494	624	637
495	625	635
496	626	634
497	628	633
498	629	631
499	630	630
500	631	628
501	632	627
502	633	625
503	634	623
504	634	622
505	635	620
506	636	618
507	637	617
508	638	615
509	639	614
510	640	613
511	642	611
512	643	610
513	644	609
514	645	608
515	646	606
516	647	605
517	648	603
518	649	602
519	651	601
520	652	600
521	654	599
522	655	597
523	656	596
524	657	594
525	658	593
526	659	591
527	660	590
528	661	588
529	662	587
530	663	585
531	664	584
532	665	582
533	666	581
534	667	579
535	667	578
536	668	576
537	669	574
538	670	573
539	670	571
540	671	570
541	672	568
542	673	566
543	674	565
544	675	564
545	676	562
546	678	561
547	679	560
548	680	558
549	681	557
550	682	555
551	682	554
552	684	553
553	685	551
554	686	550
555	687	549
556	689	548
557	690	547
558	691	545
559	692	544
560	693	542
561	694	541
562	695	540
563	696	538
564	697	537
565	698	535
566	700	534
567	701	533
568	702	532
569	704	531
570	705	529
571	706	528
572	707	527
573	708	525
574	709	524
575	711	523
576	712	522
577	714	521
578	715	520
579	716	518
580	717	517
581	718	516
582	719	514
583	720	513
584	722	512
585	723	510
586	724	509
587	726	508
588	728	508
589	729	507
590	730	505
591	731	504
592	732	502
593	734	501
594	744	506
595	747	506
596	752	507
597	768	516
598	769	515
599	782	521
600	784	520
601	793	524
602	794	522
603	795	521
604	796	520
605	797	518
606	798	517
607	799	515
608	800	513
609	801	512
610	802	511
611	807	511
612	809	510
613	811	509
614	812	508
615	813	506
616	814	505
617	816	504
618	819	504
619	820	502
620	821	501
621	822	499
622	823	498
623	824	496
624	825	495
625	826	493
626	827	492
627	828	490
628	829	489
629	831	488
630	832	486
631	833	485
632	835	484
633	836	482
634	837	481
635	840	481
636	842	479
637	843	478
638	844	477
639	845	475
640	846	474
641	847	472
642	848	471
643	849	469
644	851	468
645	852	467
646	853	465
647	854	464
648	855	462
649	856	461
650	857	459
651	858	458
652	859	456
653	860	455
654	861	453
655	862	452
656	862	450
657	864	449
658	865	447
659	866	446
660	867	444
661	868	443
662	869	441
663	870	440
664	871	438
665	872	437
666	873	435
667	874	434
668	875	432
669	876	431
670	877	430
671	879	429
672	879	427
673	880	426
674	881	424
675	882	423
676	883	421
677	884	420
678	885	418
679	886	417
680	887	415
681	888	414
682	890	413
683	891	411
684	892	410
685	893	408
686	894	407
687	895	405
688	896	404
689	897	403
690	898	401
691	899	400
692	900	398
693	901	397
694	902	396
695	904	394
696	905	393
697	906	392
698	907	390
699	908	389
700	909	387
701	909	386
702	910	384
703	911	383
704	912	381
705	913	380
706	914	379
707	915	377
708	916	376
709	917	374
710	918	373
711	919	371
712	919	370
713	920	368
714	921	367
715	922	365
716	922	364
717	924	362
718	925	361
719	926	360
720	927	358
721	928	357
722	929	355
723	929	354
724	930	352
725	931	351
726	932	350
727	933	348
728	933	347
729	934	345
730	935	344
731	936	342
732	937	341
733	938	340
734	939	338
735	940	337
736	941	335
737	942	334
738	943	333
739	943	331
740	944	330
741	945	328
742	946	327
743	946	325
744	947	324
745	948	322
746	949	321
747	950	320
748	951	318
749	952	317
750	953	316
751	954	314
752	955	313
753	955	311
754	956	310
755	957	308
756	958	307
757	959	306
758	960	304
759	960	303
760	961	302
761	962	300
762	963	299
763	964	298
764	965	296
765	966	295
766	967	293
767	968	292
768	968	291
769	969	289
770	970	288
771	971	286
772	972	285
773	973	284
774	974	282
775	975	281
776	976	280
777	977	278
778	978	277
779	978	276
780	979	274
781	980	273
782	981	271
783	982	270
784	983	269
785	983	267
786	984	266
787	985	265
788	986	263
789	986	262
790	987	261
791	988	259
792	990	258
793	990	257
794	991	255
795	992	254
796	993	253
797	994	251
798	995	250
799	995	248
800	996	247
801	997	246
802	998	244
803	999	243
804	999	242
805	1000	240
806	1002	239
807	1003	238
808	1003	236
809	1004	235
810	1005	234
811	1006	233
812	1007	231
813	1007	230
814	1008	228
815	1009	227
816	1010	226
817	1010	224
818	1011	223
819	1012	222
820	1013	221
821	1015	219
822	1016	218
823	1017	217
824	1017	215
825	1019	214
826	1020	213
827	1021	212
828	1022	210
829	1023	209
830	1024	208
831	1026	207
832	1027	205
833	1028	204
834	1029	203
835	1031	202
836	1032	201
837	1033	199
838	1034	198
839	1034	197
840	1035	195
841	1036	194
842	1037	193
843	1039	192
844	1040	190
845	1041	189
846	1042	188
847	1043	187
848	1044	185
849	1045	184
850	1046	183
851	1047	181
852	1047	180
853	1048	179
854	1049	178
855	1051	176
856	1052	175
857	1053	174
858	1054	173
859	1055	171
860	1056	170
861	1057	169
862	1058	168
863	1059	166
864	1060	165
865	1060	164
866	1062	162
867	1063	161
868	1064	160
869	1065	159
870	1066	157
871	1066	156
872	1067	155
873	1068	154
874	1069	152
875	1070	151
876	1071	150
877	1071	148
878	1072	147
879	1073	146
880	1075	145
881	1076	143
882	1077	142
883	1078	141
884	1079	140
885	1080	138
886	1080	137
887	1081	136
888	1082	135
889	1083	133
890	1084	132
891	1084	131
892	1085	130
893	1086	128
894	1087	127
895	1088	126
896	1090	125
897	1091	123
898	1092	122
899	1092	121
900	1093	120
901	1094	118
902	1095	117
903	1096	116
904	1096	115
905	1097	113
906	1098	112
907	1099	111
908	1100	110
909	1101	108
910	1102	107
911	1103	106
912	1104	105
913	1106	104
914	1106	102
915	1107	101
916	1108	100
917	1109	99
918	1110	97
919	1111	96
920	1111	95
921	1112	94
922	1114	92
923	1115	91
924	1116	90
925	1117	89
926	1117	88
927	1118	86
928	1119	85
929	1120	84
930	1121	83
931	1121	81
932	1122	80
933	1123	79
934	1124	78
935	1125	76
936	1126	75
937	1128	74
938	1129	73
939	1129	72
940	1130	70
941	1131	69
942	1132	68
943	1133	67
944	1133	65
945	1134	64
946	1135	63
947	1136	62
948	1137	61
949	1138	59
950	1139	58
951	1140	57
952	1141	56
953	1142	55
954	1143	53
955	1144	52
956	1144	51
957	1145	50
958	1146	49
959	1147	47
960	1148	46
961	1148	45
962	1149	44
963	1150	42
964	1151	41
965	1153	40
966	1153	39
967	1154	38
968	1155	36
969	1156	35
970	1157	34
971	1157	33
972	1158	32
973	1159	30
974	1160	29
975	1161	28
976	1162	27
977	1163	26
978	1164	24
979	1165	23
980	1166	22
981	1167	21
982	1168	20
983	1168	19
984	1169	17
985	1170	16
986	1171	15
987	1172	14
988	1173	13
989	1174	11
990	1174	10
991	1175	9
992	1177	8
993	1178	7
994	1179	5
995	1179	4
996	1180	3
997	1181	2
998	1182	1
999	1183	0
